2025-11-08T13:58:17+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:20+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:30+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:31+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:36+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:39+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:42+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:45+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:48+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:51+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:53+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:58:56+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:59:02+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:59:05+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:00:15+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
